Linux 5.19.0-43-generic (ubuntu) 	06/10/2023 	_x86_64_	(6 CPU)

05:14:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:17:57 AM     0     30768    0.00    0.99    0.00    0.00    0.99     3  python3
05:17:58 AM     0     30768    0.00    1.98    0.00    0.99    1.98     4  python3
05:17:59 AM     0     30768    0.00    1.00    0.00    1.00    1.00     4  python3
05:18:00 AM     0     30768    0.00    1.00    0.00    1.00    1.00     0  python3
05:18:01 AM     0     30768    0.00    1.00    0.00    0.00    1.00     4  python3
05:18:02 AM     0     30768    0.99    0.99    0.00    0.00    1.98     4  python3
05:18:03 AM     0     30768    0.00    1.00    0.00    0.00    1.00     5  python3
05:18:04 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
05:18:05 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:18:06 AM     0     30768    0.00    0.00    0.00    0.00    0.00     0  python3
05:18:07 AM     0     30768    0.00    2.00    0.00    0.00    2.00     2  python3
05:18:08 AM     0     30768    0.00    2.00    0.00    0.00    2.00     4  python3
05:18:09 AM     0     30768    0.00    0.00    0.00    1.00    0.00     3  python3
05:18:10 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
05:18:11 AM     0     30768    0.99    1.98    0.00    0.00    2.97     1  python3
05:18:12 AM     0     30768    0.00    1.00    0.00    0.00    1.00     5  python3
05:18:13 AM     0     30768    1.00    1.00    0.00    0.00    2.00     5  python3
05:18:14 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:18:15 AM     0     30768    0.00    1.00    0.00    0.00    1.00     0  python3
05:18:16 AM     0     30768    0.00    1.98    0.00    0.99    1.98     2  python3
05:18:17 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:18:18 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:18:19 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:18:20 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:18:21 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:18:22 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:18:23 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
05:18:24 AM     0     30768    0.00    0.00    0.00    0.00    0.00     5  python3
